Region,R2-training,R2-testing,degree
Beijing,0.7659866266430003,-23.848587584716213,2
Tianjin,0.07098741525402108,-3.1208904740845496,1
Hebei,0.9237355915081786,-16.476947732550965,1
Shanxi,0.312647270386348,-10.00550685131104,1
Neimenggu,0.9528167616622227,-71.01813093445351,3
Liaoning,0.0006248301043718651,-1.8786542843418599,1
Jilin,0.7260216061537056,-31.811016430543702,1
Heilongjiang,0.07863457282850206,-1.4909389764470666,2
Shanghai,0.6182211728434266,-12.612628585719866,2
Jiangsu,0.9408796118742919,-0.16104912000690574,1
Zhejiang,0.9884035038508406,-1.4616034998223881,2
Anhui,0.857474586398897,-93.87230714191703,2
Fujian,0.20493653379532695,-4.422115126627907,1
Jiangxi,0.6618768307638695,-72.56434252818345,1
Shandong,0.7220124425530454,-5.387881059675966,1
Henan,0.8585996871881616,-62.00022209492914,2
Hubei,0.9452089252239115,0.24421562496368932,1
Hunan,0.7620382636242751,-0.4599249167821269,1
Guangdong,0.9730306088911603,-49.05811464544625,2
Guangxi,0.6174473329866006,-4.386564399185728,1
Hainan,0.7750394902123308,0.5724531675766239,1
Chongqing,0.14690979369293644,-2.1006113796160735,1
Sichuan,0.0945684531283274,-26.419698944253536,1
Guizhou,0.6238021720955602,-0.9492759268046476,1
Yunnan,0.48833316198355026,-0.08734716417610233,1
Shaanxi,0.5600161696775854,-3.0432059086327135,1
Gansu,0.9236348151725484,-10.558601828354963,1
Qinghai,0.7273879786605519,-26.808909444530727,2
Ningxia,0.5687315732509413,-1.9402294221084082,1
Xinjiang,0.03017413373726252,-8.752378784940507,1
